Rank ;Platform ;Year ;Genre ;Publisher
1445;PS3 ;2008;Shooter ;Electronic Arts
1446;XOne ;2015;Fighting ;Warner Bros. Interactive Entertainment
1447;PS2 ;2004;Action ;Electronic Arts
1448;XB ;2003;Racing ;Vivendi Games
1449;X360 ;2008;Action ;Capcom
1450;PS3 ;2008;Shooter ;Ubisoft
1451;PSP ;2005;Role-Playing ;Capcom
1452;X360 ;2011;Action ;Electronic Arts
1453;PS ;1997;Role-Playing ;SquareSoft
1454;PS2 ;2004;Misc ;Sony Computer Entertainment
1455;X360 ;2007;Sports ;Electronic Arts
1456;PS3 ;2011;Adventure ;Sony Computer Entertainment
1457;PS2 ;2002;Racing ;Atari
1458;DS ;2005;Role-Playing ;Nintendo
1459;X360 ;2006;Shooter ;Capcom
1460;GEN ;1994;Fighting ;Acclaim Entertainment
1461;XB ;2005;Shooter ;Activision
1462;GC ;2004;Platform ;Nintendo
1463;PS2 ;2006;Racing ;Electronic Arts
1464;PS2 ;2003;Shooter ;Take-Two Interactive
1465;PC ;2000;Strategy ;Electronic Arts
1466;PS2 ;2004;Sports ;Electronic Arts
1467;PS3 ;2007;Fighting ;THQ
1468;PS2 ;2004;Platform ;Sony Computer Entertainment
1469;X360 ;2010;Sports ;Ubisoft
1470;PS3 ;2011;Shooter ;Bethesda Softworks
1471;X360 ;2013;Platform ;Activision
1472;PS4 ;2013;Sports ;Take-Two Interactive
1473;GBA ;2002;Action ;Activision
1474;N64 ;1998;Fighting ;Acclaim Entertainment
1475;GB ;2000;Sports ;Activision
1476;GBA ;2003;Simulation ;Electronic Arts
1477;PS ;2000;Sports ;Electronic Arts
1478;GC ;2004;Shooter ;Nintendo
1479;X360 ;2010;Fighting ;THQ
1480;PS3 ;2013;Role-Playing ;Square Enix
1481;PS2 ;2004;Racing ;TDK Mediactive
1482;DS ;2007;Simulation ;Ubisoft
1483;DS ;2010;Role-Playing ;Nintendo
1484;XOne ;2014;Action ;Warner Bros. Interactive Entertainment
1485;PSP ;2005;Racing ;Electronic Arts
1486;PS3 ;2008;Action ;Warner Bros. Interactive Entertainment
1487;PS3 ;2014;Role-Playing ;Namco Bandai Games
1488;PC ;2008;Role-Playing ;Activision
1489;PS3 ;2014;Role-Playing ;Square Enix
1490;X360 ;2014;Action ;Warner Bros. Interactive Entertainment
1491;PS ;1998;Racing ;Codemasters
1492;NES ;1985;Puzzle ;Nintendo
1493;PS2 ;2002;Sports ;Atari
1494;PS ;1997;Fighting ;Eidos Interactive
1495;GBA ;2003;Role-Playing ;Capcom
1496;PS3 ;2010;Shooter ;Sony Computer Entertainment
1497;PS ;1996;Sports ;Electronic Arts
1498;DS ;2011;Racing ;Disney Interactive Studios
1499;X360 ;2012;Action ;Activision
1500;PSP ;N/A ;Action ;Warner Bros. Interactive Entertainment
1501;PS ;1996;Racing ;ASC Games
1502;PS2 ;2002;Racing ;Bethesda Softworks
1503;X360 ;2009;Misc ;MTV Games
1504;X360 ;2009;Fighting ;Namco Bandai Games
1505;X360 ;2009;Action ;Activision
1506;Wii ;2009;Misc ;Zoo Games
1507;PS2 ;2005;Platform ;Activision
1508;PS ;1999;Adventure ;THQ
1509;DS ;2009;Strategy ;Warner Bros. Interactive Entertainment
1510;2600;1983;Platform ;Activision
1511;PS2 ;2002;Shooter ;Acclaim Entertainment
1512;Wii ;2008;Misc ;Disney Interactive Studios
1513;Wii ;2008;Sports ;Ubisoft
1514;XB ;2004;Racing ;Electronic Arts
1515;2600;N/A ;Adventure ;Atari
1516;GBA ;2002;Role-Playing ;Konami Digital Entertainment
1517;PS3 ;2011;Action ;Electronic Arts
1518;PS2 ;2006;Sports ;Electronic Arts
1519;PS3 ;2013;Action ;Deep Silver
1520;PS2 ;2005;Misc ;Sony Computer Entertainment
1521;Wii ;2007;Sports ;Electronic Arts
1522;PS ;1997;Racing ;Accolade
1523;SNES ;1995;Role-Playing ;SquareSoft
1524;Wii ;2010;Sports ;Electronic Arts
1525;PS ;1999;Role-Playing ;Namco Bandai Games
1526;XOne ;2015;Adventure ;Square Enix
1527;Wii ;2006;Racing ;Electronic Arts
1528;WiiU ;2015;Platform ;Nintendo
1529;GBA ;2002;Role-Playing ;Capcom
1530;PS3 ;2012;Sports ;Electronic Arts
1531;GC ;2002;Action ;Capcom
1532;X360 ;2005;Racing ;Electronic Arts
1533;XOne ;2015;Shooter ;Ubisoft
1534;GBA ;2003;Platform ;TDK Mediactive
1535;PS2 ;2004;Shooter ;Atari
1536;Wii ;2008;Misc ;Activision
1537;DS ;2008;Adventure ;Nintendo
1538;PS3 ;2008;Role-Playing ;Sega
1539;PS2 ;2005;Racing ;Take-Two Interactive
1540;PS2 ;2004;Role-Playing ;Sony Online Entertainment
1541;X360 ;2014;Action ;Ubisoft
1542;DS ;2008;Simulation ;Ubisoft
1543;PS4 ;2014;Action ;Konami Digital Entertainment
1544;GB ;1989;Misc ;Nintendo
1545;XOne ;2015;Action ;Ubisoft
1546;PS ;1999;Action ;3DO
1547;X360 ;2012;Action ;THQ
1548;PS ;1999;Racing ;989 Studios
1549;PS2 ;2003;Action ;Take-Two Interactive
1550;3DS ;2012;Action ;Nintendo
1551;PS2 ;2001;Action ;Konami Digital Entertainment
1552;PS3 ;2008;Action ;Eidos Interactive
1553;PS ;1997;Platform ;Konami Digital Entertainment
1554;PC ;2005;Simulation ;Electronic Arts
1555;PS2 ;2008;Action ;Warner Bros. Interactive Entertainment
1556;PS ;1995;Racing ;Electronic Arts
1557;3DS ;2012;Role-Playing ;Nintendo
1558;2600;1981;Shooter ;Imagic
1559;X360 ;2008;Sports ;Take-Two Interactive
1560;X360 ;2011;Fighting ;THQ
1561;XB ;2003;Sports ;Activision
1562;NES ;1984;Shooter ;Nintendo
1563;XOne ;2015;Role-Playing ;Bethesda Softworks
1564;Wii ;2008;Sports ;Deep Silver
1565;PS2 ;2002;Role-Playing ;Atari
1566;Wii ;2007;Sports ;Take-Two Interactive
1567;GC ;2003;Platform ;Sega
1568;PS2 ;2004;Action ;Sony Computer Entertainment
1569;PS ;1994;Fighting ;Sony Computer Entertainment
1570;3DS ;2016;Action ;Level 5
1571;DS ;2008;Action ;Activision
1572;DS ;2005;Simulation ;Atari
1573;PC ;2010;Sports ;Sega
1574;PS ;1998;Puzzle ;THQ
1575;DS ;2007;Simulation ;Square Enix
1576;WiiU ;2014;Action ;Nintendo
1577;PS3 ;2006;Racing ;Electronic Arts
1578;PC ;2003;Sports ;Eidos Interactive
1579;PS ;1998;Sports ;Codemasters
1580;DS ;2007;Action ;THQ
1581;PS ;1998;Misc ;Hasbro Interactive
1582;X360 ;2012;Action ;Warner Bros. Interactive Entertainment
1583;Wii ;2007;Sports ;RTL
1584;PS3 ;2008;Shooter ;Sony Computer Entertainment
1585;PS ;2000;Sports ;Electronic Arts
1586;PS2 ;2008;Action ;LucasArts
1587;2600;N/A ;Action ;Atari
1588;PS3 ;2007;Shooter ;Ubisoft
1589;NES ;1988;Role-Playing ;Namco Bandai Games
1590;NES ;1987;Role-Playing ;Namco Bandai Games
1591;PS ;1996;Sports ;Natsume
1592;PS3 ;2013;Fighting ;Warner Bros. Interactive Entertainment
1593;GC ;2005;Role-Playing ;Nintendo
1594;PS2 ;2006;Shooter ;Electronic Arts
1595;PC ;2002;Strategy ;Atari
1596;PS2 ;2003;Action ;Eidos Interactive
1597;PS2 ;2004;Action ;Ubisoft
1598;PS ;1998;Racing ;Electronic Arts
1599;PS2 ;2005;Shooter ;Sony Computer Entertainment
1600;PS2 ;2001;Role-Playing ;Virgin Interactive
1601;DS ;2007;Action ;Activision
1602;PS3 ;2011;Role-Playing ;Namco Bandai Games
1603;DS ;2007;Racing ;Nintendo
1604;PS3 ;2009;Action ;Activision
1605;PSP ;2009;Action ;Ubisoft
1606;PS ;1997;Platform ;GT Interactive
1607;XOne ;2015;Role-Playing ;Namco Bandai Games
1608;PS2 ;2000;Action ;Namco Bandai Games
1609;PS2 ;2008;Fighting ;THQ
1610;GB ;1992;Puzzle ;Nintendo
1611;XB ;2005;Action ;Activision
1612;Wii ;2007;Action ;D3Publisher
1613;PS2 ;2001;Platform ;Konami Digital Entertainment
1614;PS3 ;2010;Sports ;Electronic Arts
1615;XB ;2004;Action ;Microsoft Game Studios
1616;XB ;2002;Platform ;Universal Interactive
1617;PS2 ;2004;Racing ;Atari
1618;PS ;2003;Misc ;Sony Computer Entertainment
1619;PC ;2014;Simulation ;Focus Home Interactive
1620;X360 ;2008;Misc ;Activision
1621;PS3 ;2007;Shooter ;Electronic Arts
1622;GB ;2000;Puzzle ;Nintendo
1623;GBA ;2003;Platform ;THQ
1624;PS ;1998;Racing ;Activision
1625;NES ;1986;Platform ;Konami Digital Entertainment
1626;GBA ;2004;Platform ;Nintendo
1627;PS3 ;2009;Action ;Sega
1628;GBA ;2003;Puzzle ;Nintendo
1629;PSP ;2005;Shooter ;LucasArts
1630;PS4 ;2016;Sports ;Electronic Arts
1631;Wii ;2008;Puzzle ;Electronic Arts
1632;PC ;2015;Role-Playing ;Bethesda Softworks
1633;Wii ;2007;Simulation ;Electronic Arts
1634;PS3 ;2012;Action ;Warner Bros. Interactive Entertainment
1635;PS3 ;2010;Fighting ;Namco Bandai Games
1636;GC ;2004;Sports ;Nintendo
1637;PS ;1997;Puzzle ;Sony Computer Entertainment
1638;GB ;1997;Misc ;Nintendo
1639;GB ;1999;Misc ;Nintendo
1640;NES ;1984;Puzzle ;Namco Bandai Games
1641;PS2 ;2006;Adventure ;Alchemist
1642;PS3 ;2011;Racing ;Codemasters
1643;PSP ;2006;Racing ;THQ
1644;PS ;1997;Sports ;Electronic Arts
1645;PS ;1997;Role-Playing ;SquareSoft
1646;GBA ;2002;Role-Playing ;Nintendo
1647;PS ;1996;Simulation ;Maxis
1648;XB ;2001;Shooter ;Take-Two Interactive
1649;PS ;1998;Fighting ;Electronic Arts
1650;PS2 ;2002;Sports ;Sega
1651;PS2 ;N/A ;Racing ;Unknown
1652;3DS ;2011;Fighting ;Capcom
1653;PS2 ;2006;Racing ;THQ
1654;XB ;2001;Misc ;Microsoft Game Studios
1655;XB ;2004;Shooter ;Activision
1656;PSP ;2010;Sports ;Electronic Arts
1657;PS2 ;2002;Platform ;Sony Computer Entertainment
1658;DS ;2009;Action ;Activision
1659;SNES ;1992;Platform ;Capcom
1660;PS ;2001;Role-Playing ;Enix Corporation
1661;PS ;1999;Action ;LucasArts
1662;PS ;2000;Action ;Virgin Interactive
1663;GC ;2003;Racing ;Electronic Arts
1664;GBA ;2007;Misc ;N/A
1665;PS ;1997;Racing ;Electronic Arts
1666;PSP ;2006;Sports ;Electronic Arts
1667;PSP ;2005;Sports ;Konami Digital Entertainment
1668;PS2 ;2002;Action ;Black Label Games
1669;PS3 ;2011;Action ;LucasArts
1670;PS2 ;2004;Racing ;SouthPeak Games
1671;GC ;2004;Strategy ;Nintendo
1672;Wii ;2015;Misc ;Ubisoft
1673;Wii ;2008;Misc ;Disney Interactive Studios
1674;XOne ;2015;Shooter ;Electronic Arts
1675;PS4 ;2015;Sports ;Take-Two Interactive
1676;SNES ;1993;Fighting ;Namco Bandai Games
1677;NES ;1986;Shooter ;Konami Digital Entertainment
1678;NES ;1986;Platform ;Konami Digital Entertainment
1679;DC ;1999;Sports ;Sega
1680;GB ;1989;Shooter ;Nintendo
1681;XB ;2003;Action ;Atari
1682;PS2 ;2001;Sports ;Electronic Arts
1683;DS ;2006;Puzzle ;Nintendo
1684;Wii ;2009;Adventure ;Nintendo
1685;PS3 ;2012;Action ;Namco Bandai Games
1686;PS3 ;2013;Sports ;Take-Two Interactive
1687;PSP ;2006;Action ;Konami Digital Entertainment
1688;PS ;1997;Simulation ;Electronic Arts
1689;WiiU ;2014;Puzzle ;Nintendo
1690;PSP ;2007;Fighting ;THQ
1691;GBA ;2003;Racing ;THQ
1692;Wii ;2008;Sports ;Konami Digital Entertainment
1693;GBA ;2002;Platform ;THQ
1694;3DS ;2012;Sports ;Sega
1695;PS2 ;2006;Action ;Vivendi Games
1696;N64 ;1998;Sports ;Nintendo
1697;NES ;1990;Platform ;Capcom
1698;PS ;1999;Racing ;Ubisoft
1699;XB ;N/A ;Action ;Eidos Interactive
1700;XOne ;2013;Sports ;Electronic Arts
1701;GC ;2002;Action ;Activision
1702;GBA ;2004;Role-Playing ;Nintendo
1703;PS4 ;2016;Sports ;Take-Two Interactive
1704;3DS ;2015;Role-Playing ;Nintendo
1705;X360 ;2012;Misc ;Ubisoft
1706;PS ;1999;Adventure ;Konami Digital Entertainment
1707;2600;1982;Racing ;Atari
1708;PS3 ;2012;Action ;Capcom
1709;PSP ;2008;Action ;LucasArts
1710;NES ;1988;Sports ;Namco Bandai Games
1711;DC ;1999;Adventure ;Sega
1712;GB ;2000;Sports ;Nintendo
1713;GBA ;2001;Sports ;Activision
1714;PS3 ;2011;Fighting ;THQ
1715;PS3 ;2009;Fighting ;THQ
1716;DS ;2011;Strategy ;Mastertronic
1717;PS3 ;2006;Platform ;Sega
1718;SNES ;1991;Platform ;Capcom
1719;PC ;2008;Strategy ;Electronic Arts
1720;PS ;1996;Simulation ;Electronic Arts
1721;X360 ;2011;Sports ;Ubisoft
1722;PS3 ;2008;Shooter ;Electronic Arts
1723;PS2 ;2005;Shooter ;Activision
1724;PS2 ;2002;Platform ;Electronic Arts
1725;Wii ;2008;Platform ;Nintendo
1726;DS ;2007;Platform ;Sega
1727;X360 ;2012;Action ;Electronic Arts
1728;NES ;1990;Platform ;Capcom
1729;PS4 ;2016;Platform ;Sony Computer Entertainment
1730;N64 ;1997;Action ;Ocean
1731;SNES ;1993;Role-Playing ;SquareSoft
1732;PS2 ;2003;Sports ;Zoo Digital Publishing
1733;PS ;1998;Sports ;989 Studios
1734;PS ;1996;Racing ;Sony Computer Entertainment
1735;XB ;2003;Shooter ;Electronic Arts
1736;PC ;2012;Sports ;Sega
1737;PS ;1996;Racing ;Psygnosis
1738;X360 ;2008;Platform ;Electronic Arts
1739;XOne ;2015;Shooter ;Activision
1740;GBA ;2004;Puzzle ;Nintendo
1741;PS3 ;2008;Action ;Activision
1742;Wii ;2009;Sports ;Electronic Arts
1743;PC ;2010;Role-Playing ;Bethesda Softworks
1744;PSV ;2012;Racing ;Electronic Arts
1745;PSP ;2007;Role-Playing ;Square Enix
1746;PS2 ;2006;Racing ;Take-Two Interactive
1747;PS2 ;2004;Shooter ;Ubisoft
1748;PS3 ;2007;Misc ;Sony Computer Entertainment
1749;PS ;1997;Fighting ;Sony Computer Entertainment
1750;DS ;2011;Action ;LucasArts
1751;PS2 ;2001;Racing ;Electronic Arts
1752;N64 ;1999;Shooter ;Nintendo
1753;SNES ;1993;Platform ;Capcom
1754;GBA ;2002;Role-Playing ;Konami Digital Entertainment
1755;SAT ;1995;Racing ;Sega
1756;PS ;1997;Racing ;Eidos Interactive
1757;PSP ;2007;Shooter ;Electronic Arts
1758;X360 ;2010;Shooter ;City Interactive
1759;PS3 ;2011;Misc ;Ubisoft
1760;XB ;2005;Action ;Eidos Interactive
1761;PSP ;2009;Sports ;Electronic Arts
1762;X360 ;2014;Shooter ;Electronic Arts
1763;PC ;2008;Simulation ;Sega
1764;PS3 ;2011;Simulation ;Konami Digital Entertainment
1765;PS2 ;2001;Action ;Midway Games
1766;PS3 ;2007;Action ;Eidos Interactive
1767;PS2 ;2004;Shooter ;Empire Interactive
1768;2600;1980;Misc ;Activision
1769;PS3 ;2010;Action ;Take-Two Interactive
1770;Wii ;2009;Platform ;Sega
1771;PC ;2007;Shooter ;Activision
1772;GB ;1990;Puzzle ;Nintendo
1773;SNES ;1995;Sports ;ASCII Entertainment
1774;NES ;1986;Action ;Hudson Soft
1775;DS ;2008;Misc ;Disney Interactive Studios
1776;PS3 ;2011;Platform ;Sony Computer Entertainment
1777;GC ;2003;Misc ;Nintendo
1778;PS3 ;2011;Fighting ;Electronic Arts
1779;SNES ;1993;Role-Playing ;Enix Corporation
1780;PS2 ;2003;Platform ;THQ
1781;PS ;1998;Shooter ;Success
1782;PS ;1997;Puzzle ;Compile
1783;3DS ;2011;Action ;Nintendo
1784;PS ;2000;Action ;Take-Two Interactive
1785;PS2 ;2003;Action ;Activision
1786;PS2 ;2005;Action ;Sony Computer Entertainment
1787;PS ;1998;Role-Playing ;SquareSoft
1788;PS3 ;2007;Sports ;Sony Computer Entertainment
1789;PS2 ;2005;Simulation ;Konami Digital Entertainment
1790;PS3 ;2008;Platform ;Electronic Arts
1791;Wii ;2009;Platform ;Ubisoft
1792;N64 ;1998;Shooter ;Acclaim Entertainment
1793;NES ;1986;Action ;Capcom
1794;SNES ;1990;Simulation ;Nintendo
1795;DC ;2000;Action ;Eidos Interactive
1796;GB ;1991;Racing ;Nintendo
1797;XB ;2003;Action ;Electronic Arts
1798;GBA ;2005;Action ;Eidos Interactive
1799;PS2 ;2005;Role-Playing ;Take-Two Interactive
1800;X360 ;2009;Misc ;Activision
1801;PS2 ;2001;Simulation ;Atari
1802;GC ;2004;Racing ;Electronic Arts
1803;XB ;2002;Simulation ;Microsoft Game Studios
1804;PS3 ;2010;Racing ;Sony Computer Entertainment
1805;3DS ;2011;Action ;LucasArts
1806;PS ;1999;Sports ;ASCII Entertainment
1807;GBA ;2006;Racing ;THQ
1808;3DS ;2012;Role-Playing ;Nintendo
1809;XB ;2004;Shooter ;Ubisoft
1810;PS4 ;2014;Sports ;Take-Two Interactive
1811;NES ;1983;Platform ;Nintendo
1812;PS ;1998;Misc ;Sony Computer Entertainment
1813;X360 ;2013;Sports ;Take-Two Interactive
1814;PS4 ;2014;Shooter ;Sega
1815;PS3 ;2009;Action ;Sega
1816;GBA ;2005;Role-Playing ;Nintendo
1817;PS3 ;2009;Misc ;MTV Games
1818;X360 ;2011;Action ;Electronic Arts
1819;2600;1982;Shooter ;Atari
1820;PS2 ;2001;Racing ;Activision
1821;N64 ;1996;Simulation ;Nintendo
1822;X360 ;2010;Shooter ;Microsoft Game Studios
1823;PS3 ;2013;Role-Playing ;Square Enix
1824;PS3 ;2010;Action ;Konami Digital Entertainment
1825;X360 ;2011;Misc ;Ubisoft
1826;X360 ;2014;Action ;Disney Interactive Studios
1827;PSP ;2005;Shooter ;Sony Computer Entertainment
1828;XB ;2005;Shooter ;Activision
1829;NES ;1992;Puzzle ;Nintendo
1830;PS2 ;2009;Misc ;Activision
1831;PC ;2007;Sports ;Russel
1832;XB ;2004;Action ;Activision
1833;XB ;2003;Shooter ;Microsoft Game Studios
1834;PS4 ;2015;Action ;Warner Bros. Interactive Entertainment
1835;PS2 ;2007;Action ;Activision
1836;PS3 ;2008;Racing ;Codemasters
1837;PS2 ;2007;Misc ;RedOctane
1838;XOne ;2014;Shooter ;Microsoft Game Studios
1839;PS2 ;N/A ;Misc ;Electronic Arts
1840;XB ;2005;Action ;Ubisoft
1841;NES ;1983;Platform ;Nintendo
1842;PS ;1995;Role-Playing ;Sony Computer Entertainment
1843;GEN ;1994;Sports ;Acclaim Entertainment
1844;Wii ;2007;Racing ;Electronic Arts
1845;WiiU ;2013;Strategy ;Nintendo
1846;PS ;1999;Role-Playing ;SquareSoft
1847;PSP ;2004;Puzzle ;Ubisoft
1848;PS3 ;2010;Action ;Disney Interactive Studios
1849;PS3 ;2009;Misc ;Activision
1850;2600;1981;Shooter ;Activision
1851;X360 ;2007;Shooter ;Electronic Arts
1852;3DS ;2015;Action ;Nintendo
1853;2600;1982;Platform ;Atari
1854;PS ;1997;Sports ;Electronic Arts
1855;PS3 ;2012;Action ;Warner Bros. Interactive Entertainment
1856;DS ;2007;Simulation ;Ubisoft
1857;PS3 ;2010;Fighting ;THQ
1858;GB ;1999;Strategy ;Konami Digital Entertainment
1859;NES ;1984;Puzzle ;Hudson Soft
1860;GB ;1989;Role-Playing ;SquareSoft
1861;NES ;1989;Role-Playing ;Namco Bandai Games
1862;N64 ;1998;Racing ;Nintendo
1863;NES ;1983;Platform ;Nintendo
1864;Wii ;2008;Shooter ;Electronic Arts
1865;PS2 ;2001;Sports ;Electronic Arts
1866;PS2 ;2006;Misc ;Sony Computer Entertainment
1867;PS2 ;2006;Misc ;Sony Computer Entertainment
1868;GC ;2003;Role-Playing ;Nintendo
1869;PSP ;2005;Role-Playing ;Activision
1870;PS ;1998;Role-Playing ;Sony Computer Entertainment
1871;PS3 ;2013;Role-Playing ;Square Enix
1872;PSP ;2008;Action ;LucasArts
1873;DS ;2008;Simulation ;Ubisoft
1874;PSP ;2007;Action ;Electronic Arts
1875;PS2 ;2006;Adventure ;Sega
1876;X360 ;2009;Sports ;Electronic Arts
1877;GBA ;2003;Role-Playing ;Atari
1878;PS3 ;2007;Fighting ;Sega
1879;DC ;2000;Sports ;Sega
1880;PS ;1998;Simulation ;Konami Digital Entertainment
1881;PSP ;2005;Misc ;Sony Computer Entertainment
1882;DS ;2006;Action ;LucasArts
1883;XB ;2003;Sports ;Electronic Arts
1884;PC ;2009;Strategy ;Sega
1885;PS2 ;2006;Action ;Electronic Arts
1886;Wii ;2009;Sports ;Electronic Arts
1887;PS2 ;2002;Shooter ;LucasArts
1888;PS ;1997;Simulation ;Taito
1889;PS3 ;2010;Action ;Electronic Arts
1890;DS ;2010;Racing ;Sega
1891;PS3 ;2012;Action ;Activision
1892;Wii ;2007;Adventure ;Nintendo
1893;PS ;1998;Sports ;Midway Games
1894;X360 ;2010;Racing ;Sega
1895;PS2 ;2003;Racing ;Electronic Arts
1896;PS3 ;2008;Action ;Ubisoft
1897;PS2 ;2002;Platform ;THQ
1898;PC ;2015;Action ;Take-Two Interactive
1899;Wii ;2009;Sports ;THQ
1900;PS2 ;2002;Sports ;Agetec
1901;DS ;2009;Adventure ;Electronic Arts
1902;Wii ;2009;Action ;Capcom
1903;X360 ;2012;Action ;Electronic Arts
1904;PSP ;2009;Action ;Take-Two Interactive
1905;Wii ;2010;Sports ;Electronic Arts
1906;PS3 ;2007;Shooter ;Electronic Arts
1907;2600;1982;Platform ;Atari
1908;X360 ;2008;Action ;Eidos Interactive
1909;PS2 ;2004;Shooter ;Ubisoft
1910;PS3 ;2011;Racing ;Codemasters
1911;WiiU ;2013;Platform ;Nintendo
1912;DS ;2008;Simulation ;Electronic Arts
1913;PS ;1998;Sports ;Midway Games
1914;GBA ;2003;Fighting ;Atari
1915;GBA ;2002;Platform ;Ubisoft
1916;GC ;2005;Shooter ;Nintendo
1917;PS3 ;2008;Fighting ;Namco Bandai Games
1918;X360 ;2011;Fighting ;Capcom
1919;X360 ;2013;Sports ;Electronic Arts
1920;PS ;1999;Misc ;Sony Computer Entertainment
1921;PS2 ;2006;Shooter ;Activision
1922;DS ;2008;Simulation ;Ubisoft
1923;X360 ;2010;Action ;Take-Two Interactive
1924;X360 ;2008;Action ;Take-Two Interactive
1925;SAT ;1994;Fighting ;Sega
1926;PC ;1999;Sports ;Eidos Interactive
1927;PS2 ;2009;Fighting ;THQ
1928;X360 ;2007;Sports ;Konami Digital Entertainment
1929;DS ;2005;Platform ;Nintendo
1930;PS ;1997;Sports ;Electronic Arts
1931;PS2 ;2005;Fighting ;Namco Bandai Games
1932;PS3 ;2013;Platform ;Activision
1933;PS3 ;2012;Racing ;Codemasters
1934;PSP ;2005;Sports ;Sony Computer Entertainment
1935;Wii ;2011;Action ;Disney Interactive Studios
1936;PS ;1995;Racing ;Sony Computer Entertainment
1937;X360 ;2011;Action ;Disney Interactive Studios
1938;PS ;1999;Racing ;Electronic Arts
1939;PS ;1998;Sports ;Electronic Arts
1940;PS2 ;2006;Fighting ;Midway Games
1941;X360 ;2010;Shooter ;Sega
1942;PS2 ;2002;Racing ;Electronic Arts
1943;DS ;2008;Misc ;GSP
1944;X360 ;2010;Action ;THQ
1945;PS3 ;2007;Racing ;Codemasters
1946;DS ;2007;Shooter ;Activision
1947;PS ;1998;Misc ;D3Publisher
1948;Wii ;2008;Sports ;Sega
1949;PS2 ;2005;Sports ;Electronic Arts
1950;PS3 ;2012;Action ;Square Enix
1951;X360 ;2008;Shooter ;Electronic Arts
1952;PS ;1999;Strategy ;Microprose
1953;PS2 ;2003;Action ;Universal Interactive
1954;PS3 ;2008;Action ;Activision
1955;N64 ;1998;Sports ;Midway Games
1956;N64 ;1997;Sports ;Acclaim Entertainment
1957;X360 ;2009;Misc ;Activision
1958;DS ;2007;Platform ;Take-Two Interactive
1959;PC ;2001;Role-Playing ;Vivendi Games
1960;PS4 ;2016;Fighting ;Namco Bandai Games
1961;GBA ;2004;Action ;Activision
1962;PS3 ;2007;Sports ;Sega
1963;PS2 ;2002;Racing ;Play It
1964;PS3 ;2007;Simulation ;Sony Computer Entertainment
1965;DS ;2007;Adventure ;Capcom
1966;X360 ;2014;Action ;Ubisoft
1967;2600;1981;Shooter ;Imagic
1968;PSP ;2006;Shooter ;Sony Computer Entertainment
1969;Wii ;2014;Action ;Activision
1970;PS3 ;2010;Shooter ;Sega
1971;2600;1980;Misc ;Atari
1972;Wii ;2010;Misc ;Ubisoft
1973;NES ;1986;Platform ;Hudson Soft
1974;PS ;1996;Role-Playing ;Sony Computer Entertainment
1975;NES ;1985;Fighting ;Namco Bandai Games
1976;SNES ;1996;Sports ;ASCII Entertainment
1977;PS3 ;2012;Action ;THQ
1978;PS2 ;2002;Sports ;Sega
1979;PS4 ;2015;Fighting ;Namco Bandai Games
1980;XB ;2001;Racing ;Electronic Arts
1981;PS ;2000;Sports ;Acclaim Entertainment
1982;DS ;2007;Simulation ;Ubisoft
1983;X360 ;2009;Fighting ;THQ
1984;XB ;2005;Racing ;Microsoft Game Studios
1985;X360 ;2006;Platform ;Sega
1986;Wii ;2009;Adventure ;Electronic Arts
1987;PS ;1998;Simulation ;Sony Computer Entertainment
1988;DS ;2012;Role-Playing ;Nintendo
1989;X360 ;2007;Action ;Electronic Arts
1990;Wii ;2008;Action ;Warner Bros. Interactive Entertainment
1991;PS2 ;2003;Sports ;Electronic Arts
1992;PS ;N/A ;Action ;Eidos Interactive
1993;Wii ;2007;Fighting ;Atari
1994;DS ;2010;Action ;Disney Interactive Studios
1995;PS ;1997;Role-Playing ;Namco Bandai Games
1996;PS ;2000;Racing ;Acclaim Entertainment
1997;DS ;2009;Adventure ;Disney Interactive Studios
1998;PS ;1996;Action ;Virgin Interactive
1999;GC ;2003;Fighting ;Nintendo
2000;PS2 ;2006;Simulation ;Konami Digital Entertainment
2001;X360 ;2011;Shooter ;Bethesda Softworks
2002;GBA ;2001;Racing ;Nintendo
2003;N64 ;1997;Puzzle ;Hudson Soft
2004;PS ;1998;Racing ;Acclaim Entertainment
2005;X360 ;2009;Action ;Activision
2006;PS4 ;2015;Racing ;Slightly Mad Studios
2007;XB ;2005;Racing ;Electronic Arts
2008;DS ;2011;Platform ;Nintendo
2009;XOne ;2013;Action ;Warner Bros. Interactive Entertainment
2010;DS ;2010;Simulation ;Activision
2011;PS3 ;2007;Shooter ;Ubisoft
2012;PSP ;2009;Racing ;Sony Computer Entertainment
2013;PSP ;2005;Racing ;Sony Computer Entertainment
2014;PS4 ;2014;Sports ;Electronic Arts
2015;PS2 ;2005;Racing ;THQ
2016;PS3 ;2008;Platform ;Sega
2017;Wii ;2007;Sports ;Electronic Arts
2018;PS3 ;2011;Platform ;Ubisoft
2019;Wii ;2012;Action ;Disney Interactive Studios
2020;PS2 ;2003;Sports ;Electronic Arts
2021;GB ;N/A ;Platform ;Nintendo
2022;NES ;1985;Puzzle ;Hudson Soft
2023;Wii ;2007;Action ;Electronic Arts
2024;PC ;1996;Action ;Eidos Interactive
2025;Wii ;2008;Misc ;MTV Games
2026;PS ;1998;Fighting ;Virgin Interactive
2027;X360 ;2011;Shooter ;Electronic Arts
2028;Wii ;2007;Sports ;Electronic Arts
2029;Wii ;2007;Fighting ;Tomy Corporation
